iter	Passed	Remaining
0	21	6532
1	38	5667
2	52	5182
3	70	5215
4	85	5046
5	102	5013
6	120	5041
7	138	5052
8	151	4909
9	168	4898
10	186	4893
11	203	4894
12	220	4874
13	236	4827
14	254	4836
15	272	4841
16	289	4824
17	307	4809
18	326	4835
19	347	4869
20	366	4875
21	385	4869
22	403	4855
23	423	4870
24	442	4865
25	463	4887
26	481	4872
27	502	4878
28	523	4888
29	540	4866
30	561	4874
31	583	4890
32	606	4904
33	623	4877
34	641	4859
35	659	4839
36	680	4836
37	697	4807
38	719	4818
39	737	4795
40	761	4809
41	778	4783
42	800	4783
43	818	4762
44	838	4750
45	859	4746
46	879	4733
47	899	4721
48	915	4691
49	935	4675
50	952	4648
51	973	4641
52	992	4625
53	1007	4591
54	1026	4574
55	1044	4549
56	1060	4519
57	1075	4486
58	1092	4463
59	1107	4431
60	1122	4396
61	1139	4374
62	1154	4344
63	1173	4326
64	1189	4301
65	1207	4280
66	1227	4269
67	1245	4249
68	1260	4219
69	1273	4184
70	1288	4155
71	1303	4128
72	1320	4106
73	1333	4073
74	1352	4056
75	1366	4028
76	1382	4003
77	1399	3981
78	1414	3956
79	1428	3928
80	1446	3909
81	1464	3892
82	1481	3872
83	1497	3851
84	1514	3829
85	1528	3803
86	1546	3787
87	1565	3771
88	1582	3750
89	1599	3732
90	1615	3711
91	1630	3685
92	1647	3666
93	1663	3645
94	1680	3626
95	1699	3611
96	1715	3590
97	1732	3572
98	1750	3553
99	1765	3531
100	1782	3512
101	1798	3491
102	1817	3476
103	1834	3457
104	1851	3438
105	1869	3420
106	1884	3399
107	1899	3376
108	1914	3354
109	1932	3337
110	1951	3322
111	1965	3299
112	1980	3276
113	1994	3254
114	2014	3240
115	2028	3218
116	2045	3199
117	2062	3181
118	2080	3164
119	2098	3147
120	2113	3126
121	2130	3108
122	2146	3089
123	2163	3070
124	2181	3053
125	2195	3031
126	2208	3009
127	2223	2987
128	2228	2954
129	2242	2932
130	2260	2916
131	2274	2895
132	2292	2878
133	2307	2858
134	2321	2837
135	2339	2821
136	2355	2802
137	2370	2782
138	2387	2765
139	2402	2746
140	2419	2728
141	2425	2698
142	2441	2681
143	2460	2665
144	2472	2643
145	2489	2625
146	2504	2606
147	2519	2587
148	2535	2569
149	2551	2551
150	2569	2535
151	2587	2519
152	2602	2500
153	2618	2482
154	2633	2463
155	2648	2445
156	2666	2428
157	2680	2408
158	2694	2389
159	2710	2371
160	2728	2355
161	2744	2338
162	2759	2319
163	2775	2301
164	2793	2285
165	2806	2265
166	2822	2247
167	2839	2231
168	2855	2213
169	2872	2196
170	2887	2178
171	2903	2160
172	2921	2145
173	2938	2127
174	2952	2109
175	2967	2090
176	2983	2073
177	2998	2055
178	3014	2037
179	3029	2019
180	3042	2000
181	3059	1983
182	3074	1965
183	3094	1950
184	3112	1934
185	3135	1921
186	3154	1906
187	3175	1891
188	3197	1877
189	3224	1866
190	3241	1849
191	3259	1833
192	3278	1817
193	3309	1808
194	3323	1789
195	3338	1771
196	3356	1755
197	3373	1737
198	3387	1719
199	3401	1700
200	3417	1683
201	3435	1666
202	3454	1650
203	3474	1635
204	3491	1617
205	3511	1602
206	3532	1587
207	3547	1569
208	3564	1551
209	3585	1536
210	3603	1520
211	3619	1502
212	3636	1485
213	3651	1467
214	3667	1450
215	3681	1431
216	3697	1414
217	3713	1396
218	3731	1380
219	3749	1363
220	3768	1347
221	3787	1330
222	3803	1313
223	3820	1296
224	3836	1278
225	3851	1261
226	3865	1243
227	3881	1225
228	3896	1207
229	3912	1190
230	3930	1174
231	3945	1156
232	3961	1139
233	3976	1121
234	3993	1104
235	4008	1087
236	4026	1070
237	4043	1053
238	4061	1036
239	4078	1019
240	4096	1002
241	4112	985
242	4129	968
243	4145	951
244	4161	934
245	4177	916
246	4194	899
247	4211	883
248	4229	866
249	4244	848
250	4258	831
251	4273	814
252	4290	797
253	4308	780
254	4327	763
255	4341	746
256	4359	729
257	4375	712
258	4390	694
259	4403	677
260	4417	660
261	4432	642
262	4450	626
263	4466	609
264	4481	591
265	4503	575
266	4520	558
267	4537	541
268	4555	524
269	4572	508
270	4588	491
271	4605	474
272	4623	457
273	4640	440
274	4655	423
275	4673	406
276	4689	389
277	4706	372
278	4723	355
279	4739	338
280	4756	321
281	4774	304
282	4791	287
283	4807	270
284	4826	254
285	4842	237
286	4855	219
287	4873	203
288	4891	186
289	4905	169
290	4922	152
291	4938	135
292	4953	118
293	4970	101
294	4988	84
295	5005	67
296	5018	50
297	5033	33
298	5049	16
299	5069	0
